Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Tootsie,177200000,177200000,,15000000,17/12/1982,1982,0,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Sydney Pollack,87,7.4,31669
Videodrome,2120439,2120439,,5952000,04/02/1983,1983,0,,,Universal,Original Screenplay,Horror,Fantasy,David Cronenberg,,7.3,20080
The Outsiders,25697647,25697647,,10000000,25/03/1983,1983,0,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65,7,23607
Losin' It,1246141,1246141,,7000000,08/04/1983,1983,0,,,,,,,,,4.6,1668
The Evil Dead,2400000,29400000,,375000,15/04/1983,1983,0,NC-17,,New Line,,Horror,,Sam Raimi,,7.6,45030
Flashdance,90463574,201463574,,7000000,15/04/1983,1983,0,,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Adrian Lyne,29,5.6,12485
Lone Wolf McQuade,12232628,12232628,,5000000,15/04/1983,1983,0,,,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,,,5.8,2917
Star Wars Ep. VI: Return of the Jedi,309205079,572700000,12356425,32500000,25/05/1983,1983,0,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,,,
War Games,74433837,74433837,,12000000,03/06/1983,1983,0,,,MGM,Original Screenplay,Thriller/Suspense,Science Fiction,John Badham,,6.4,88
Octopussy,67900000,187500000,,27500000,10/06/1983,1983,0,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47,6.6,23167
Superman III,59950623,59950623,,39000000,17/06/1983,1983,0,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,,23,4.7,18070
Twilight Zone: The Movie,29500000,29500000,,10000000,24/06/1983,1983,0,,,Warner Bros.,Based on TV,Horror,Fantasy,Steven Spielberg,67,6.3,12054
The Ballad of Gregorio Cortez,909000,909000,,1305000,19/08/1983,1983,0,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,
Brainstorm,8921050,8921050,,15000000,30/09/1983,1983,0,,,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,64,6.3,4410
Never Say Never Again,55500000,160000000,,36000000,07/10/1983,1983,0,,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,65,6,21247
The Dead Zone,20766000,20766000,,10000000,21/10/1983,1983,0,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,David Cronenberg,,7.3,19485
The Right Stuff,21500000,21500000,,27000000,21/10/1983,1983,0,,,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275
A Christmas Story,19294144,19294144,,3250000,18/11/1983,1983,0,PG,,MGM,Based on Book/Short Story,Comedy,Historical Fiction,,88,8,51757
Yentl,39012241,39012241,,12000000,18/11/1983,1983,0,,,MGM/UA Classics,Based on Book/Short Story,Musical,,Barbra Streisand,71,6.2,4952
Scarface,44942821,44942821,15386092,25000000,09/12/1983,1983,0,Not Rated,,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262
Footloose,80000000,80000000,,8200000,17/02/1984,1984,0,,,Paramount Pictures,Original Screenplay,Musical,Contemporary Fiction,Herbert Ross,56,6,15626
Repo Man,2300000,2300000,,1500000,02/03/1984,1984,0,,,Universal,Original Screenplay,Comedy,Science Fiction,,97,6.7,12438
The Hotel New Hampshire,5142858,5142858,,7500000,09/03/1984,1984,0,,,Orion Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,,69,5.8,4387
Splash,62599495,62599495,,8000000,09/03/1984,1984,0,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Ron Howard,91,6.2,21732
The Ice Pirates,13075390,13075390,,9000000,16/03/1984,1984,0,,,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,,11,5.1,3600
Police Academy,81198894,81198894,,4500000,23/03/1984,1984,0,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47,6.3,23192
Friday the 13th Part IV: The Final Chapter,32980880,32980880,,2600000,13/04/1984,1984,0,,,Paramount Pictures,,Horror,Fantasy,,,,
Love Letters,5269990,5269990,,550000,27/04/1984,1984,0,PG-13,,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,7.3,477
Indiana Jones and the Temple of Doom,179880271,333080271,18998388,28000000,23/05/1984,1984,0,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85,7.5,110761
Star Trek III: The Search for Spock,76471046,87000000,,18000000,01/06/1984,1984,0,,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,,6.5,22261
Ghostbusters,238632124,291632124,,30000000,08/06/1984,1984,0,PG,,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Ivan Reitman,,6.8,358
Gremlins,148168459,148168459,,11000000,08/06/1984,1984,0,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Joe Dante,78,7,42163
Conan the Destroyer,26400000,26400000,,18000000,29/06/1984,1984,0,,,Universal,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,29,5.4,20368
Die Unendliche Geschichte,21300000,21300000,,27000000,20/07/1984,1984,0,,,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Wolfgang Petersen,,7.4,25704
Sheena,5778353,5778353,,25000000,17/08/1984,1984,0,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598
C.H.U.D.,4700000,4700000,,1250000,31/08/1984,1984,0,,,New World,Original Screenplay,Horror,Fantasy,,,5,2806
Amadeus,51973029,51973029,,18000000,19/09/1984,1984,0,R,,Warner Bros.,Based on Play,Drama,Dramatization,Milos Forman,96,8.4,96997
Body Double,8801940,8801940,,10000000,26/10/1984,1984,0,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738
The Terminator,38019031,78019031,,6400000,26/10/1984,1984,0,,,Orion Pictures,Original Screenplay,Action,Science Fiction,James Cameron,100,8.1,179606
A Nightmare on Elm Street,25504513,25504513,,1800000,09/11/1984,1984,0,,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95,5.3,12554
Beverly Hills Cop,234760478,316300000,,15000000,05/12/1984,1984,0,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065
The Cotton Club,25928721,25928721,,48000000,14/12/1984,1984,0,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940
Dune,27447471,27447471,,45000000,14/12/1984,1984,0,,,Universal,Based on Book/Short Story,Action,Science Fiction,David Lynch,62,6.5,38489
Witness,65532576,65532576,,12000000,08/02/1985,1985,0,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Peter Weir,94,7.6,30460
Def-Con 4,210904,210904,,1300000,15/03/1985,1985,0,,,New World,Original Screenplay,Action,Science Fiction,,,3.8,639
Friday the 13th Part V: A New Beginning,21930418,21930418,,2200000,22/03/1985,1985,0,,,Paramount Pictures,,Horror,Contemporary Fiction,,,,
Ladyhawke,18400000,18400000,,20000000,12/04/1985,1985,0,,,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63,6.7,15260
Rambo: First Blood Part II,150415432,300400000,,44000000,22/05/1985,1985,0,R,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548
A View to a Kill,50327960,152627960,,30000000,24/05/1985,1985,0,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,39,6.1,23770
Lifeforce,11603545,11603545,,25000000,21/06/1985,1985,0,,,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57,5.8,5727
Return to Oz,10618813,10618813,,27000000,21/06/1985,1985,0,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,,55,6.7,7491
Pale Rider,41410568,41410568,,6900000,28/06/1985,1985,0,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92,7.1,15352
Red Sonja,6905861,6905861,,17900000,28/06/1985,1985,0,,,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896
Back to the Future,210609762,381109762,,19000000,03/07/1985,1985,0,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96,8.4,201598
Day of the Dead,5804262,34004262,,3500000,03/07/1985,1985,0,,,United Film Distribution Co.,,Horror,,George A. Romero,78,4.5,8395
Mad Max Beyond Thunderdome,36230219,36230219,,10000000,10/07/1985,1985,0,,,Warner Bros.,,Action,Science Fiction,George Miller,,5.9,24273
Silverado,33200000,33200000,,26000000,10/07/1985,1985,0,,,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76,7,14243
