Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
The Postman Always Rings Twice,12200000,44200000,,12000000,20/03/1981,1981,0,,,,,,,Bob Rafelson,70,6.4,6886
The Howling,17985000,17985000,,1000000,10/04/1981,1981,0,,,,,,,Joe Dante,60,6.5,8731
Nighthawks,14600000,19600000,,5000000,10/04/1981,1981,0,,,Universal,Original Screenplay,Action,Contemporary Fiction,,71,6.3,5649
Friday the 13th Part 2,21722776,21722776,,1250000,30/04/1981,1981,0,,,,,Horror,,Steve Miner,33,5.5,13395
Graduation Day,23894000,23894000,,250000,01/05/1981,1981,1,,,,,Thriller/Suspense,,,,3,836
The Four Seasons,42488161,42488161,,6500000,22/05/1981,1981,1,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71,7,1814
The Legend of the Lone Ranger,13400000,13400000,,18000000,22/05/1981,1981,1,,,Universal,Remake,Western,Historical Fiction,,,4.6,755
Clash of the Titans,30000000,30000000,,15000000,12/06/1981,1981,1,,108,MGM,Traditional/Legend/Fairytale,Adventure,Fantasy,,65,5.9,45773
History of the World: Part I,31672000,31672000,,11000000,12/06/1981,1981,1,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,Mel Brooks,,6.5,16691
Raiders of the Lost Ark,245034358,386800358,19608618,20000000,12/06/1981,1981,1,PG,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,,8.7,242661
Superman II,108185706,108185706,,50000000,19/06/1981,1981,1,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,,6.7,29512
Dragonslayer,6000000,6000000,,18000000,26/06/1981,1981,1,,,Paramount Pictures,Original Screenplay,Action,Fantasy,,82,6.8,4945
For Your Eyes Only,54800000,195300000,,28000000,26/06/1981,1981,1,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,71,6.8,23527
Stripes,85300000,85300000,,10000000,26/06/1981,1981,1,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88,6.8,19618
Escape from New York,25244700,25244700,,6000000,10/07/1981,1981,1,,,Avco Embassy,Original Screenplay,Action,Science Fiction,John Carpenter,82,7.1,34497
Blow Out,13747234,13747234,,18000000,24/07/1981,1981,1,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239
Under the Rainbow,18826490,18826490,,20000000,31/07/1981,1981,1,,,Warner Bros.,Original Screenplay,Comedy,Historical Fiction,,,4.9,1263
Heavy Metal,19571091,19571091,,9300000,07/08/1981,1981,1,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Science Fiction,,60,6,45
Gallipoli,5732587,5732587,,3000000,28/08/1981,1981,1,,,,,,,Peter Weir,86,7.7,14139
Mommie Dearest,19032000,25032000,,5000000,18/09/1981,1981,1,,,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Frank Perry,57,6.3,4905
Chariots of Fire,57159946,57159946,,5500000,25/09/1981,1981,1,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86,7.3,16138
Halloween II,25533818,25533818,,2500000,30/10/1981,1981,1,,,Universal,,Horror,Contemporary Fiction,Rick Rosenthal,27,4.9,12197
Time Bandits,37400000,37400000,,12000000,06/11/1981,1981,1,,,Avco Embassy,Original Screenplay,Adventure,Fantasy,Terry Gilliam,94,6.9,22719
Roar,2000000,2000000,,17000000,12/11/1981,1981,1,,,,,,,,,5.9,228
The Pursuit of D.B. Cooper,2104164,2104164,,12000000,13/11/1981,1981,1,,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,,5.8,442
Reds,50000000,50000000,,33500000,04/12/1981,1981,1,,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455
Taps,35856053,35856053,,14000000,09/12/1981,1981,1,,,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Harold Becker,79,6.5,6515
Heartbeeps,6000000,6000000,,10000000,18/12/1981,1981,1,,,Universal,Original Screenplay,Comedy,Science Fiction,,,4.1,620
Modern Problems,24474312,24474312,,8000000,25/12/1981,1981,1,,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,,4.5,2144
"Boot, Das",11487676,84970337,,12000000,10/02/1982,1982,1,R,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Wolfgang Petersen,,4.3,2184
La Guerre du feu,20959585,20959585,,12500000,12/02/1982,1982,1,,,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,,7.4,6198
Porky's,109492484,109492484,,4000000,19/03/1982,1982,1,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,,,5.8,15861
Diner,12592907,12592907,,5000000,02/04/1982,1982,1,,,MGM,Original Screenplay,Comedy,Historical Fiction,Barry Levinson,96,7.1,7803
Conan the Barbarian,38264085,38264085,,20000000,14/05/1982,1982,1,,,Universal,Based on Book/Short Story,Action,Fantasy,John Milius,76,6.8,38886
Mad Max 2: The Road Warrior,24600832,24600832,,2000000,21/05/1982,1982,1,,,Warner Bros.,,Action,Science Fiction,George Miller,,,
Poltergeist,74706019,121706019,,10700000,04/06/1982,1982,1,,,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86,7.4,32817
Star Trek II: The Wrath of Khan,79912963,96800000,,12000000,04/06/1982,1982,1,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,7.8,36131
ET: The Extra-Terrestrial,435110554,792910554,,10500000,11/06/1982,1982,1,PG,,Universal,Original Screenplay,Drama,Science Fiction,Steven Spielberg,,7.9,105028
Firefox,45785720,45785720,,21000000,18/06/1982,1982,1,,,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Clint Eastwood,42,5.6,9348
Blade Runner,32656328,33139618,,28000000,25/06/1982,1982,1,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546
Megaforce,5675599,5675599,,18000000,25/06/1982,1982,1,,,20th Century Fox,Original Screenplay,Action,Science Fiction,Hal Needham,,2.5,1446
Tron,26918576,26918576,,17000000,09/07/1982,1982,1,,,Walt Disney Pictures,Original Screenplay,Action,Science Fiction,,68,2.9,923
Friday the 13th Part 3,36690067,36690067,,2250000,13/08/1982,1982,1,,,Paramount Pictures,,Horror,Contemporary Fiction,Steve Miner,14,5.5,13395
Fast Times at Ridgemont High,27092880,27092880,,4500000,13/08/1982,1982,1,,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,Amy Heckerling,80,7.2,31362
The Beastmaster,10751126,10751126,,5000000,20/08/1982,1982,1,,,MGM,Based on Book/Short Story,Action,Fantasy,,50,5.7,5734
Class of 1984,6965361,6965361,,3250000,20/08/1982,1982,1,,,United Film Distribution Co.,Original Screenplay,Drama,Contemporary Fiction,,,6.3,2945
Jekyll and Hyde... Together Again,3707583,3707583,,5000000,27/08/1982,1982,1,,,Universal,Based on Book/Short Story,Comedy,Science Fiction,,,5.5,486
Inchon,4408636,4408636,,46000000,17/09/1982,1982,1,,,MGM,Original Screenplay,Drama,Historical Fiction,,,3,326
First Blood,47212904,125212904,,14000000,22/10/1982,1982,1,R,,Orion Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Ted Kotcheff,,7.4,56369
Halloween 3: Season of the Witch,14400000,14400000,,2500000,22/10/1982,1982,1,,,Universal,,Horror,Contemporary Fiction,,,3.8,12644
The Man From Snowy River,20659423,20659423,,5000000,03/11/1982,1982,1,,,20th Century Fox,Original Screenplay,Drama,Historical Fiction,George Miller,80,7,3101
Creepshow,20036244,20036244,,8000000,10/11/1982,1982,1,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,George A. Romero,67,6.5,12530
Q,255000,255000,,1200000,19/11/1982,1982,1,,,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,,,6.1,1899
Gandhi,52767889,52767889,,22000000,08/12/1982,1982,0,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Sir Richard Attenborough,85,8.2,50881
The Verdict,53977250,53977250,,16000000,08/12/1982,1982,0,,,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,Sidney Lumet,96,7.7,10864
